BRANCH1,SUBJECT,TITLE,CHANNEL,Video URL,ID,UNIT,YEAR,BRANCH
IT,ENGINEERING PHYSICS,"quantum confinement. quantum wells , wires and dots.",FARHAN PHYSICS,https://www.youtube.com/watch?v=6LV93xEv3Ts,5.0.7,5,1,IT-1
IT,ENGINEERING PHYSICS,Top Down Fabrication of Nanomaterials,Tonya Coffey,https://www.youtube.com/watch?v=LJ37mRLmMGY,5.0.8,5,1,IT-1
IT,ENGINEERING PHYSICS,Sol gel Method of Material processing,Output info,https://www.youtube.com/watch?v=Sj3NeMQGAOU,5.0.9,5,1,IT-1
CSE,MATHEMATICS-1,Types of Matrices with Examples,Mulkek,https://www.youtube.com/watch?v=Kbv7rw6sUBo,1.0.1,1,1,CSE-1
CSE,MATHEMATICS-1,Rank-Nullity Theorem for Matrix | Rank Nullity Theorem | Rank-Nullity Theorem Problems,FEARLESS INNOCENT MATH,https://www.youtube.com/watch?v=_d0x_xV1vMg,1.0.2,1,1,CSE-1
CSE,MATHEMATICS-1,Solving Systems of Equations By Elimination &amp; Substitution With 2 Variables,The Organic Chemistry Tutor,https://www.youtube.com/watch?v=oKqtgz2eo-Y,1.0.3,1,1,CSE-1
CSE,MATHEMATICS-1,Caley Hamilton Theorem for the matrix || Caley Hamilton Theorem,Civil learning online,https://www.youtube.com/watch?v=8GsVR4KDr-c,1.0.4,1,1,CSE-1
CSE,MATHEMATICS-1,"Eigenvectors and eigenvalues | Chapter 14, Essence of linear algebra",3Blue1Brown,https://www.youtube.com/watch?v=PFDu9oVAE-g,1.0.5,1,1,CSE-1
CSE,MATHEMATICS-1,Introduction to Limits,The Organic Chemistry Tutor,https://www.youtube.com/watch?v=zLozwNf5r-8,2.0.1,2,1,CSE-1
CSE,MATHEMATICS-1,Rolle&#39;s Theorem,Mathispower4u,https://www.youtube.com/watch?v=2_FCYzch8ww,2.0.2,2,1,CSE-1
CSE,MATHEMATICS-1,B-TECH|M1|VERIFY CAUCHY&#39;S MEAN VALUE THEOREM|B-TECH EXAM IMPORTANT questions|#btech #btechmaths,RS ACADEMY,https://www.youtube.com/watch?v=kHA8Bg9M4kI,2.0.3,2,1,CSE-1
CSE,MATHEMATICS-1,Successive Differentiation|Leibnitz&#39;s Theorem|Lecture 03|ENGINEERING MATHEMATICS|PRADEEP GIRI SIR,Pradeep Giri Academy,https://www.youtube.com/watch?v=PHIGwMmi7iU,2.0.4,2,1,CSE-1
CSE,MATHEMATICS-1,The Cartesian Coordinate System - The Basics!,patrickJMT,https://www.youtube.com/watch?v=gGEtuRcL8lA,2.0.5,2,1,CSE-1
CSE,MATHEMATICS-1,Basic How to Convert Cartesian to Polar Coordinates,Anil Kumar,https://www.youtube.com/watch?v=XCdrplDBIDc,2.0.6,2,1,CSE-1
CSE,MATHEMATICS-1,Mathematics: Illustration on Euler&#39;s Theorem on Homogeneous Function,Edredo for Learners,https://www.youtube.com/watch?v=palSdK9P-ns,3.0.1,3,1,CSE-1
CSE,MATHEMATICS-1,Difference Between Partial and Total Derivative,Alexander Fufaev (fufaev.org),https://www.youtube.com/watch?v=Kp7sSp5Kn7o,3.0.2,3,1,CSE-1
CSE,MATHEMATICS-1,"Taylor series | Chapter 11, Essence of calculus",3Blue1Brown,https://www.youtube.com/watch?v=3d6DsjIBzJ4,3.0.3,3,1,CSE-1
CSE,MATHEMATICS-1,Absolute Maximum and Minimum Values of Multivariable Functions (Part 1),patrickJMT,https://www.youtube.com/watch?v=vkzsxvucLjQ,3.0.4,3,1,CSE-1
CSE,MATHEMATICS-1,How to Set Up Double Integrals,Serpentine Integral,https://www.youtube.com/watch?v=gifQWtTWqEY,4.0.1,4,1,CSE-1
CSE,MATHEMATICS-1,Calculus - How to find the bounds of a triple integral,MySecretMathTutor,https://www.youtube.com/watch?v=12B4QQZVM1c,4.0.2,4,1,CSE-1
CSE,MATHEMATICS-1,❖ Double Integrals - Changing Order of Integration ❖,patrickJMT,https://www.youtube.com/watch?v=j6A44yQrGfU,4.0.3,4,1,CSE-1
CSE,MATHEMATICS-1,"Change of variables | MIT 18.02SC Multivariable Calculus, Fall 2010",MIT OpenCourseWare,https://www.youtube.com/watch?v=lCKxeRiBdjQ,4.0.4,4,1,CSE-1
CSE,MATHEMATICS-1,"Gradient, Divergence &amp; Curl",Physics Jessy,https://www.youtube.com/watch?v=FXTt6Sa79mI,5.0.1,5,1,CSE-1
CSE,MATHEMATICS-1,Directional derivative,Khan Academy,https://www.youtube.com/watch?v=N_ZRcLheNv0,5.0.2,5,1,CSE-1
CSE,MATHEMATICS-1,Introduction to the line integral | Multivariable Calculus | Khan Academy,Khan Academy,https://www.youtube.com/watch?v=_60sKaoRmhU,5.0.5,5,1,CSE-1
CSE,MATHEMATICS-1,"Line, Surface and Volume Integral",Padmasri Naban,https://www.youtube.com/watch?v=NyG0vRn5FfU,5.0.6,5,1,CSE-1
CSE,MATHEMATICS-1,Disk &amp; Washer Method - Calculus,The Organic Chemistry Tutor,https://www.youtube.com/watch?v=SAHSVg7Jw_A,5.0.7,5,1,CSE-1
CSE,MATHEMATICS-1,Gauss&#39;s Divergence Theorem,Steve Brunton,https://www.youtube.com/watch?v=TORt20_HjMY,5.0.7,5,1,CSE-1
CSE,MATHEMATICS-1,Green&#39;s Theorem,patrickJMT,https://www.youtube.com/watch?v=a_zdFvYXX_c,5.0.8,5,1,CSE-1
CSE,MATHEMATICS-1,Stokes&#39; Theorem on Manifolds,Aleph 0,https://www.youtube.com/watch?v=1lGM5DEdMaw,5.0.9,5,1,CSE-1
IT,MATHEMATICS-1,Types of Matrices with Examples,Mulkek,https://www.youtube.com/watch?v=Kbv7rw6sUBo,1.0.1,1,1,IT-1
IT,MATHEMATICS-1,Rank-Nullity Theorem for Matrix | Rank Nullity Theorem | Rank-Nullity Theorem Problems,FEARLESS INNOCENT MATH,https://www.youtube.com/watch?v=_d0x_xV1vMg,1.0.2,1,1,IT-1
IT,MATHEMATICS-1,Solving Systems of Equations By Elimination &amp; Substitution With 2 Variables,The Organic Chemistry Tutor,https://www.youtube.com/watch?v=oKqtgz2eo-Y,1.0.3,1,1,IT-1
IT,MATHEMATICS-1,Caley Hamilton Theorem for the matrix || Caley Hamilton Theorem,Civil learning online,https://www.youtube.com/watch?v=8GsVR4KDr-c,1.0.4,1,1,IT-1
IT,MATHEMATICS-1,"Eigenvectors and eigenvalues | Chapter 14, Essence of linear algebra",3Blue1Brown,https://www.youtube.com/watch?v=PFDu9oVAE-g,1.0.5,1,1,IT-1
IT,MATHEMATICS-1,Introduction to Limits,The Organic Chemistry Tutor,https://www.youtube.com/watch?v=zLozwNf5r-8,2.0.1,2,1,IT-1
IT,MATHEMATICS-1,Rolle&#39;s Theorem,Mathispower4u,https://www.youtube.com/watch?v=2_FCYzch8ww,2.0.2,2,1,IT-1
IT,MATHEMATICS-1,B-TECH|M1|VERIFY CAUCHY&#39;S MEAN VALUE THEOREM|B-TECH EXAM IMPORTANT questions|#btech #btechmaths,RS ACADEMY,https://www.youtube.com/watch?v=kHA8Bg9M4kI,2.0.3,2,1,IT-1
IT,MATHEMATICS-1,Successive Differentiation|Leibnitz&#39;s Theorem|Lecture 03|ENGINEERING MATHEMATICS|PRADEEP GIRI SIR,Pradeep Giri Academy,https://www.youtube.com/watch?v=PHIGwMmi7iU,2.0.4,2,1,IT-1
IT,MATHEMATICS-1,The Cartesian Coordinate System - The Basics!,patrickJMT,https://www.youtube.com/watch?v=gGEtuRcL8lA,2.0.5,2,1,IT-1
IT,MATHEMATICS-1,Basic How to Convert Cartesian to Polar Coordinates,Anil Kumar,https://www.youtube.com/watch?v=XCdrplDBIDc,2.0.6,2,1,IT-1
IT,MATHEMATICS-1,Mathematics: Illustration on Euler&#39;s Theorem on Homogeneous Function,Edredo for Learners,https://www.youtube.com/watch?v=palSdK9P-ns,3.0.1,3,1,IT-1
IT,MATHEMATICS-1,Difference Between Partial and Total Derivative,Alexander Fufaev (fufaev.org),https://www.youtube.com/watch?v=Kp7sSp5Kn7o,3.0.2,3,1,IT-1
IT,MATHEMATICS-1,"Taylor series | Chapter 11, Essence of calculus",3Blue1Brown,https://www.youtube.com/watch?v=3d6DsjIBzJ4,3.0.3,3,1,IT-1
IT,MATHEMATICS-1,Absolute Maximum and Minimum Values of Multivariable Functions (Part 1),patrickJMT,https://www.youtube.com/watch?v=vkzsxvucLjQ,3.0.4,3,1,IT-1
IT,MATHEMATICS-1,How to Set Up Double Integrals,Serpentine Integral,https://www.youtube.com/watch?v=gifQWtTWqEY,4.0.1,4,1,IT-1
IT,MATHEMATICS-1,Calculus - How to find the bounds of a triple integral,MySecretMathTutor,https://www.youtube.com/watch?v=12B4QQZVM1c,4.0.2,4,1,IT-1
IT,MATHEMATICS-1,❖ Double Integrals - Changing Order of Integration ❖,patrickJMT,https://www.youtube.com/watch?v=j6A44yQrGfU,4.0.3,4,1,IT-1
IT,MATHEMATICS-1,"Change of variables | MIT 18.02SC Multivariable Calculus, Fall 2010",MIT OpenCourseWare,https://www.youtube.com/watch?v=lCKxeRiBdjQ,4.0.4,4,1,IT-1
IT,MATHEMATICS-1,"Gradient, Divergence &amp; Curl",Physics Jessy,https://www.youtube.com/watch?v=FXTt6Sa79mI,5.0.1,5,1,IT-1
IT,MATHEMATICS-1,Directional derivative,Khan Academy,https://www.youtube.com/watch?v=N_ZRcLheNv0,5.0.2,5,1,IT-1
IT,MATHEMATICS-1,Introduction to the line integral | Multivariable Calculus | Khan Academy,Khan Academy,https://www.youtube.com/watch?v=_60sKaoRmhU,5.0.3,5,1,IT-1
IT,MATHEMATICS-1,"Line, Surface and Volume Integral",Padmasri Naban,https://www.youtube.com/watch?v=NyG0vRn5FfU,5.0.4,5,1,IT-1
IT,MATHEMATICS-1,Disk &amp; Washer Method - Calculus,The Organic Chemistry Tutor,https://www.youtube.com/watch?v=SAHSVg7Jw_A,5.0.5,5,1,IT-1
IT,MATHEMATICS-1,Gauss&#39;s Divergence Theorem,Steve Brunton,https://www.youtube.com/watch?v=TORt20_HjMY,5.0.6,5,1,IT-1
IT,MATHEMATICS-1,Green&#39;s Theorem,patrickJMT,https://www.youtube.com/watch?v=a_zdFvYXX_c,5.0.7,5,1,IT-1
IT,MATHEMATICS-1,Stokes&#39; Theorem on Manifolds,Aleph 0,https://www.youtube.com/watch?v=1lGM5DEdMaw,5.0.8,5,1,IT-1
CSE,MATHEMATICS-2,Higher Order Constant Coefficient Differential Equations: y&#39;&#39;&#39;+y&#39;=0 and y&#39;&#39;&#39;&#39;-3y&#39;&#39;&#39;+3y&#39;&#39;-y&#39;=0,Dr. Trefor Bazett,https://www.youtube.com/watch?v=is0F0u62IbY,1.0.1,1,1,CSE-1
CSE,MATHEMATICS-2,❖ Reduction of Order: Basic Example in Differential Equations ❖,patrickJMT,https://www.youtube.com/watch?v=oQSFW8BIrY0,1.0.3,1,1,CSE-1
CSE,MATHEMATICS-2,Cauchy - Euler Equations and Variation of Parameters Problem 4 (Differential Equations),BlackTshirtMathProfessor,https://www.youtube.com/watch?v=8CGtnU4Bn9Q,1.0.5,1,1,CSE-1
CSE,MATHEMATICS-2,Introduction to the Frobenius Method,Faculty of Khan,https://www.youtube.com/watch?v=_qQLuxYClA4,1.0.6,1,1,CSE-1
